"CHN" "FAN" "OLN" "SIL" "CXN" "TVN" "MAN"
"CHI" 292047 19167 115415 70443 67488 23664 1529
"FEM" 29041 288019 250749 207098 38179 42612 36886
"SIL" 102053 85137 652443 4888170 71942 521342 38700
"OVL" 35929 49562 111186 24663 22517 14193 11967
"ELE" 1428 7353 23794 130392 9583 41484 4901
"MAL" 3849 16658 52725 58799 2381 27629 72461
"OCH" 18327 14838 78128 57723 80586 12200 1364
"CHI/OVL" 204 42 188 28 59 13 4
"FEM/OVL" 109 465 634 152 76 41 51
"ELE/OVL" 16 28 74 98 27 21 9
"MAL/OVL" 25 28 136 50 8 30 59
"OCH/OVL" 41 42 233 60 100 14 9
"FEM/MAL" 0 1 2 3 1 1 1
"FEM/OCH" 0 7 3 0 4 0 0
"CHI/MAL" 1 0 3 1 2 0 2
"CHI/OCH" 2 4 5 2 5 0 0
"CHI/FEM" 4 4 7 2 2 0 0
"MAL/OCH" 0 0 0 0 1 0 0
"ELE/FEM" 1 0 0 1 0 0 0
"CHI/ELE/OVL" 1 0 0 0 0 0 0
"CHI/OCH/OVL" 0 1 2 0 0 1 0
"CHI/FEM/OVL" 1 1 0 0 0 0 0
"FEM/OCH/OVL" 0 0 1 0 0 0 0
"FEM/MAL/OVL" 0 0 1 0 0 1 0
