"CHN" "FAN" "OLN" "SIL" "CXN" "TVN" "MAN"
"CHI" 66020 2650 24144 13894 22842 2221 226
"FEM" 5607 54966 49127 36762 8807 929 4279
"SIL" 24764 13883 138006 1023419 13485 62984 7127
"OVL" 6862 10424 25720 4248 6283 334 1619
"ELE" 162 2087 3310 25996 5697 12545 156
"MAL" 952 3008 14013 12209 568 208 24511
"OCH" 4827 1502 14693 13213 26169 1165 441
"CHI/OVL" 52 13 44 4 17 2 3
"FEM/OVL" 24 119 220 38 29 2 12
"ELE/OVL" 1 2 26 18 11 4 1
"MAL/OVL" 15 12 43 21 5 0 21
"OCH/OVL" 14 10 79 13 48 1 3
"FEM/MAL" 0 0 1 0 0 0 0
"FEM/OCH" 0 0 1 0 0 0 0
"CHI/MAL" 0 0 0 0 1 0 0
"CHI/OCH" 1 0 0 1 0 0 0
"CHI/FEM" 1 0 2 0 0 0 0
"MAL/OCH" 0 0 0 0 0 0 0
"ELE/FEM" 1 0 0 0 0 0 0
"CHI/ELE/OVL" 0 0 0 0 0 0 0
"CHI/OCH/OVL" 0 0 0 0 0 0 0
"CHI/FEM/OVL" 0 0 0 0 0 0 0
"FEM/OCH/OVL" 0 0 0 0 0 0 0
"FEM/MAL/OVL" 0 0 0 0 0 0 0
