item,detection precision %,retrieved,relevant retrieved
BER_0396_005220_005340.rttm,56.93,41.86,23.83
BER_0396_008100_008220.rttm,63.60,23.05,14.66
BER_0396_008820_008940.rttm,36.15,28.13,10.17
BER_0396_010140_010260.rttm,79.40,35.83,28.45
BER_0396_011160_011280.rttm,80.56,28.14,22.67
BER_0396_012900_013020.rttm,18.69,69.27,12.95
BER_0396_013680_013800.rttm,19.09,47.45,9.06
BER_0396_014520_014640.rttm,29.81,74.08,22.08
BER_0396_021840_021960.rttm,100.00,0.00,0.00
BER_0396_022920_023040.rttm,100.00,0.00,0.00
BER_0396_024120_024240.rttm,59.31,29.00,17.20
BER_0396_024840_024960.rttm,71.15,47.55,33.83
BER_0396_033660_033780.rttm,83.19,52.42,43.61
BER_0396_037380_037500.rttm,53.26,79.72,42.46
BER_0396_040500_040620.rttm,37.88,16.71,6.33
BER_1196_002760_002880.rttm,36.50,36.90,13.47
BER_1196_007500_007620.rttm,100.00,0.00,0.00
BER_1196_011160_011280.rttm,94.77,4.78,4.53
BER_1196_013680_013800.rttm,52.41,46.12,24.17
BER_1196_014760_014880.rttm,87.61,55.46,48.59
BER_1196_015660_015780.rttm,57.81,30.81,17.81
BER_1196_016140_016260.rttm,85.22,74.28,63.30
BER_1196_021240_021360.rttm,73.59,31.77,23.38
BER_1196_022560_022680.rttm,70.03,54.06,37.86
BER_1196_023820_023940.rttm,74.96,29.23,21.91
BER_1196_024960_025080.rttm,46.51,38.79,18.04
BER_1196_032880_033000.rttm,50.91,10.94,5.57
BER_1196_033480_033600.rttm,62.20,32.99,20.52
BER_1196_034740_034860.rttm,51.87,45.34,23.52
BER_1196_039000_039120.rttm,45.61,36.00,16.42
BER_1618_003480_003600.rttm,66.92,55.23,36.96
BER_1618_007620_007740.rttm,100.00,0.00,0.00
BER_1618_009000_009120.rttm,100.00,0.00,0.00
BER_1618_013200_013320.rttm,0.00,1.80,0.00
BER_1618_017400_017520.rttm,83.73,58.33,48.84
BER_1618_023520_023640.rttm,100.00,0.00,0.00
BER_1618_023820_023940.rttm,100.00,0.00,0.00
BER_1618_024180_024300.rttm,100.00,0.00,0.00
BER_1618_031620_031740.rttm,79.23,69.34,54.94
BER_1618_041040_041160.rttm,83.53,95.55,79.81
BER_1618_043620_043740.rttm,0.00,1.31,0.00
BER_1618_047700_047820.rttm,100.00,0.00,0.00
BER_1618_050520_050640.rttm,100.00,0.00,0.00
BER_1618_051240_051360.rttm,100.00,0.00,0.00
BER_1618_053820_053940.rttm,100.00,0.00,0.00
BER_1844_002580_002700.rttm,44.00,8.50,3.74
BER_1844_009060_009180.rttm,100.00,0.00,0.00
BER_1844_010560_010680.rttm,100.00,0.00,0.00
BER_1844_012120_012240.rttm,88.67,8.21,7.28
BER_1844_013200_013320.rttm,82.30,27.00,22.22
BER_1844_013740_013860.rttm,76.72,48.42,37.15
BER_1844_018120_018240.rttm,89.81,28.85,25.91
BER_1844_018960_019080.rttm,30.48,22.21,6.77
BER_1844_020340_020460.rttm,68.95,24.41,16.83
BER_1844_028320_028440.rttm,65.96,10.90,7.19
BER_1844_029940_030060.rttm,75.55,26.54,20.05
BER_1844_030660_030780.rttm,100.00,0.00,0.00
BER_1844_031620_031740.rttm,99.96,23.75,23.74
BER_1844_034080_034200.rttm,76.13,59.28,45.13
BER_1844_041880_042000.rttm,82.41,54.05,44.54
BER_2927_012000_012120.rttm,44.85,76.12,34.14
BER_2927_013500_013620.rttm,84.69,82.87,70.18
BER_2927_014160_014280.rttm,87.98,82.09,72.22
BER_2927_019980_020100.rttm,100.00,0.00,0.00
BER_2927_023820_023940.rttm,92.52,75.29,69.66
BER_2927_025080_025200.rttm,75.27,57.29,43.12
BER_2927_026160_026280.rttm,82.94,96.02,79.64
BER_2927_026460_026580.rttm,80.71,85.14,68.72
BER_2927_027180_027300.rttm,86.03,67.55,58.11
BER_2927_030120_030240.rttm,86.39,73.10,63.15
