item,detection recall %,relevant,relevant retrieved
BER_0396_005220_005340.rttm,88.10,27.06,23.84
BER_0396_008100_008220.rttm,44.87,32.67,14.66
BER_0396_008820_008940.rttm,80.78,12.59,10.17
BER_0396_010140_010260.rttm,77.58,36.67,28.45
BER_0396_011160_011280.rttm,93.22,24.32,22.67
BER_0396_012900_013020.rttm,87.62,14.78,12.95
BER_0396_013680_013800.rttm,76.07,11.91,9.06
BER_0396_014520_014640.rttm,96.46,22.89,22.08
BER_0396_021840_021960.rttm,100.00,0.00,0.00
BER_0396_022920_023040.rttm,100.00,0.00,0.00
BER_0396_024120_024240.rttm,92.57,18.57,17.19
BER_0396_024840_024960.rttm,82.03,41.23,33.82
BER_0396_033660_033780.rttm,92.37,47.20,43.60
BER_0396_037380_037500.rttm,82.81,51.32,42.50
BER_0396_040500_040620.rttm,41.75,15.16,6.33
BER_1196_002760_002880.rttm,77.82,17.31,13.47
BER_1196_007500_007620.rttm,100.00,0.00,0.00
BER_1196_011160_011280.rttm,9.38,48.29,4.53
BER_1196_013680_013800.rttm,83.32,29.02,24.18
BER_1196_014760_014880.rttm,79.16,61.38,48.59
BER_1196_015660_015780.rttm,56.36,31.62,17.82
BER_1196_016140_016260.rttm,85.93,73.63,63.27
BER_1196_021240_021360.rttm,55.41,42.18,23.37
BER_1196_022560_022680.rttm,62.04,61.01,37.85
BER_1196_023820_023940.rttm,63.77,34.36,21.91
BER_1196_024960_025080.rttm,63.75,28.30,18.04
BER_1196_032880_033000.rttm,53.92,10.33,5.57
BER_1196_033480_033600.rttm,71.19,28.81,20.51
BER_1196_034740_034860.rttm,82.83,28.42,23.54
BER_1196_039000_039120.rttm,52.93,31.02,16.42
BER_1618_003480_003600.rttm,94.33,39.16,36.94
BER_1618_007620_007740.rttm,100.00,0.00,0.00
BER_1618_009000_009120.rttm,100.00,0.00,0.00
BER_1618_013200_013320.rttm,100.00,0.00,0.00
BER_1618_017400_017520.rttm,88.33,55.29,48.84
BER_1618_023520_023640.rttm,100.00,0.00,0.00
BER_1618_023820_023940.rttm,100.00,0.00,0.00
BER_1618_024180_024300.rttm,100.00,0.00,0.00
BER_1618_031620_031740.rttm,77.55,70.83,54.93
BER_1618_041040_041160.rttm,86.22,92.58,79.82
BER_1618_043620_043740.rttm,100.00,0.00,0.00
BER_1618_047700_047820.rttm,100.00,0.00,0.00
BER_1618_050520_050640.rttm,100.00,0.00,0.00
BER_1618_051240_051360.rttm,100.00,0.00,0.00
BER_1618_053820_053940.rttm,100.00,0.00,0.00
BER_1844_002580_002700.rttm,8.41,44.48,3.74
BER_1844_009060_009180.rttm,100.00,0.00,0.00
BER_1844_010560_010680.rttm,100.00,0.00,0.00
BER_1844_012120_012240.rttm,65.73,11.06,7.27
BER_1844_013200_013320.rttm,53.01,41.90,22.21
BER_1844_013740_013860.rttm,75.88,48.97,37.16
BER_1844_018120_018240.rttm,42.93,60.35,25.91
BER_1844_018960_019080.rttm,29.75,22.76,6.77
BER_1844_020340_020460.rttm,74.17,22.69,16.83
BER_1844_028320_028440.rttm,36.35,19.78,7.19
BER_1844_029940_030060.rttm,55.42,36.14,20.03
BER_1844_030660_030780.rttm,0.00,23.45,0.00
BER_1844_031620_031740.rttm,31.52,75.31,23.74
BER_1844_034080_034200.rttm,62.42,72.30,45.13
BER_1844_041880_042000.rttm,68.99,64.57,44.55
BER_2927_012000_012120.rttm,95.82,35.62,34.13
BER_2927_013500_013620.rttm,85.90,81.70,70.18
BER_2927_014160_014280.rttm,86.78,83.22,72.22
BER_2927_019980_020100.rttm,100.00,0.00,0.00
BER_2927_023820_023940.rttm,78.33,88.91,69.64
BER_2927_025080_025200.rttm,79.58,54.17,43.11
BER_2927_026160_026280.rttm,92.34,86.21,79.61
BER_2927_026460_026580.rttm,90.75,75.71,68.71
BER_2927_027180_027300.rttm,72.11,80.58,58.11
BER_2927_030120_030240.rttm,80.96,77.99,63.14
BER_2927_037440_037560.rttm,11.80,16.95,2.00
BER_2927_044340_044460.rttm,45.25,28.66,12.97
BER_2927_053160_053280.rttm,100.00,0.00,0.00
BER_2927_054900_055020.rttm,100.00,0.00,0.00
BER_2927_056400_056520.rttm,100.00,0.00,0.00
