"CHN" "FAN" "OLN" "SIL" "CXN" "TVN" "MAN"
"CHI" 49821 6716 20098 12426 11496 4838 269
"FEM" 1987 26385 12580 18779 6345 6499 1966
"SIL" 19801 20966 122181 955417 24794 199519 5676
"OVL" 1448 1378 3045 623 1697 256 176
"ELE" 0 0 0 0 0 0 0
"MAL" 1557 4626 5885 8406 535 4341 6433
"OCH" 6056 5613 13251 14117 20888 2675 205
"CHI/OVL" 18 4 13 4 5 2 0
"FEM/OVL" 4 22 12 5 1 0 0
"ELE/OVL" 0 0 0 0 0 0 0
"MAL/OVL" 0 2 9 3 1 3 3
"OCH/OVL" 8 7 18 7 13 0 0
"FEM/MAL" 0 1 1 3 1 1 0
"FEM/OCH" 0 7 2 0 4 0 0
"CHI/MAL" 1 0 3 1 0 0 2
"CHI/OCH" 1 4 5 1 5 0 0
"CHI/FEM" 3 4 4 2 1 0 0
"MAL/OCH" 0 0 0 0 1 0 0
"ELE/FEM" 0 0 0 0 0 0 0
"CHI/ELE/OVL" 0 0 0 0 0 0 0
"CHI/OCH/OVL" 0 0 2 0 0 1 0
"CHI/FEM/OVL" 1 1 0 0 0 0 0
"FEM/OCH/OVL" 0 0 1 0 0 0 0
"FEM/MAL/OVL" 0 0 1 0 0 1 0
