"CHN" "FAN" "OLN" "SIL" "CXN" "TVN" "MAN"
"CHI" 49951 4577 22911 11659 9298 8012 125
"FEM" 2630 71287 62968 40172 6192 5697 17001
"SIL" 10702 14404 111221 974439 8269 69689 6892
"OVL" 11311 18746 38377 8005 6276 3226 5887
"ELE" 460 4445 16174 45289 2786 13503 4683
"MAL" 260 1898 15321 13580 595 12068 20894
"OCH" 1997 3785 19206 9764 11633 516 324
"CHI/OVL" 63 15 59 6 14 7 0
"FEM/OVL" 27 142 173 32 14 3 19
"ELE/OVL" 7 23 36 47 12 10 8
"MAL/OVL" 4 8 45 5 1 4 24
"OCH/OVL" 7 13 44 12 7 0 1
"FEM/MAL" 0 0 0 0 0 0 1
"FEM/OCH" 0 0 0 0 0 0 0
"CHI/MAL" 0 0 0 0 0 0 0
"CHI/OCH" 0 0 0 0 0 0 0
"CHI/FEM" 0 0 0 0 0 0 0
"MAL/OCH" 0 0 0 0 0 0 0
"ELE/FEM" 0 0 0 0 0 0 0
"CHI/ELE/OVL" 1 0 0 0 0 0 0
"CHI/OCH/OVL" 0 1 0 0 0 0 0
"CHI/FEM/OVL" 0 0 0 0 0 0 0
"FEM/OCH/OVL" 0 0 0 0 0 0 0
"FEM/MAL/OVL" 0 0 0 0 0 0 0
